row,paper_id,title,has_mechanism,mechanism_name,channel,consequence,is_extension_of,confidence,notes
876,1bab99ecc468fa9d84f06e405eeacaf9bf86e76f,Mitigating Context Loss in Legal RAG: A Metadata-Aware Chunking Strategy for Hierarchical Indian Statutes,N,,RAG,silent-corruption,,,"Legal RAG chunking paper; explicitly addresses/exacerbates the existing ""Lost in the Middle"" phenomenon via naive chunking (details truncated)."
877,3e8fdaeca758a97fb2f91e29a065c16754c77ef6,Gated Coordination for Efficient Multi-Agent Collaboration in Minecraft Game,N,,multi-agent,reasoning-corruption,,,"Multi-agent coordination-efficiency paper (Minecraft); ""coordination noise""/""context noise"" used generically for this system's design."
879,fe7d2540488c131d292afcb27f2aeef09bf5298a,GenericAgent: A Token-Efficient Self-Evolving LLM Agent via Contextual Information Density Maximization (V1.0),N,,direct-input,reasoning-corruption,,,"Self-evolving agent systems paper; ""contextual information density"" framing is a design principle, not a named degradation mechanism."
881,84e59205e4350c9596e4a03583fdfd114112586b,TSUBASA: Improving Long-Horizon Personalization via Evolving Memory and Self-Learning with Context Distillation,N,,memory,reasoning-corruption,,,"Personalization memory-architecture paper; train-inference gap and quality-efficiency tradeoff are technical, not context-pollution mechanisms."
883,12f4ff7993bf9d6443339a86ab9b91d8050b93bd,MemMachine: A Ground-Truth-Preserving Memory System for Personalized AI Agents,N,,memory,reasoning-corruption,,,"Memory-system paper; ""factual drift and error accumulation from probabilistic..."" used generically."
884,454069505d79f8b20538c78591702ac4dae921df,Oblivion: Self-Adaptive Agentic Memory Control through Decay-Driven Activation,N,,memory,reasoning-corruption,,,"Memory-decay framework; references existing ""needle-in-a-haystack"" problem, not new."
885,b83cdce032b6129b594adf9b3ff3fbc00d20534b,Red-MIRROR: Agentic LLM-based Autonomous Penetration Testing with Reflective Verification and Knowledge-augmented Interaction,N,,tool-output,goal-hijack,,,"Offensive-security multi-agent pentesting framework; ""memory fragmentation"" mentioned generically, application is capability not incidental-mechanism study."
886,179acbd9f0287369c32a5ddef4660801af0590bd,In-Context Molecular Property Prediction with LLMs: A Blinding Study on Memorization and Knowledge Conflicts,N,,direct-input,silent-corruption,,,"Scientific ICL/benchmark-contamination study; frames as memorization-vs-context-conflict, not new mechanism."
887,e823593720cbf8dee593c3b863bd5cb385a4b856,D-Mem: A Dual-Process Memory System for LLM Agents,N,,memory,reasoning-corruption,,,"Dual-process memory architecture; ""lossy abstraction"" of incremental vector-memory compression used generically."
889,32743a56cf5a28f45d9fdf237450095b1ec9efe9,Ebbinghaus Forgetting Curve and Large Language Model Memory Management: A Cognitive Science-Driven Long-Context Enhancement Framework Design and Prospects,N,,direct-input,reasoning-corruption,,,"Applies Ebbinghaus forgetting-curve cognitive-science framework to address the existing ""lost in the middle"" problem; not a new mechanism (details truncated)."
891,e735128608be493b73022765c49c3f12c4c91591,Structurally Aligned Subtask-Level Memory for Software Engineering Agents,Y,UNNAMED: granularity mismatch in agent memory retrieval (instance-level memory causing both irrelevant-guidance retrieval and missed cross-task reuse),memory,reasoning-corruption,,low,Central empirical diagnosis: coarse instance-level (whole-episode) memory indexing in SWE agents causes surface-similar issues to retrieve misleading guidance and surface-dissimilar-but-logically-similar issues to miss applicable guidance.
892,b11a1d01b7dd7624ba5f6d923b1f5ffe6b592776,Anatomy of Agentic Memory: Taxonomy and Empirical Analysis of Evaluation and System Limitations,N,,memory,reasoning-corruption,,,Survey/taxonomy + empirical pain-point analysis of agentic memory systems; systematization rather than a single new named mechanism.
893,bd8a21437a217f0c0bed6d852138edd425005d8c,Hippocampus: An Efficient and Scalable Memory Module for Agentic AI,N,,memory,reasoning-corruption,,,Memory-system efficiency/scalability architecture paper.
894,37d6bb36fcbac1a681bd5b6c523db14532fc6ea5,AriadneMem: Threading the Maze of Lifelong Memory for LLM Agents,N,,memory,reasoning-corruption,,,"Memory architecture paper naming ""disconnected evidence"" and ""state-update fragility"" as this system's target gaps; these map closely to already-recognized multi-hop-retrieval difficulty and knowledge staleness, not clearly new mechanisms."
895,83097c959752816e046cd3a467707ded0765834b,Evaluating Long-Horizon Memory for Multi-Party Collaborative Dialogues,N,,memory,reasoning-corruption,,,"Benchmark for multi-party collaborative memory; multi-hop attribution collapse is a capability gap in current systems, not a newly characterized mechanism."
896,a19c40320dee38dcd49a45b67e9b9c2f9a8438fd,EHR-RAG: Bridging Long-Horizon Structured Electronic Health Records and Large Language Models via Enhanced Retrieval-Augmented Generation,N,,RAG,reasoning-corruption,,,Clinical EHR-RAG capability paper; addresses truncation/context-window overflow generically.
898,0d6a464d5cb4cbec81e8ea6941585266c34d8c09,Textual Equilibrium Propagation for Deep Compound AI Systems,N,,multi-agent,reasoning-corruption,,,"Compound-AI-system optimization paper; characterizes ""exploding textual gradient"" and ""vanishing textual gradient"" as depth-scaling pathologies specific to TextGrad-style feedback propagation -- a training/optimization-method artifact rather than an agent context-pollution mechanism."
899,eb88b424031e79f8e9ef61f2000f2abcd95589d3,MetaMem: Evolving Meta-Memory for Knowledge Utilization through Self-Reflective Symbolic Optimization,N,,memory,reasoning-corruption,,,"Memory-utilization framework paper; ""fragmented/inconsistent memory utilization"" from disrupted logical/temporal coherence is a specific system limitation, not centrally a new named mechanism."
901,894af73fb679f95ea1a36eb6bad300bfb80566fa,CodeDelegator: Mitigating Context Pollution via Role Separation in Code-as-Action Agents,Y,context pollution (role conflation in single-agent code-as-action agents),direct-input,silent-corruption,,low,"Paper explicitly uses the term ""context pollution"" for a specific mechanism: using one agent for both planning and implementation causes debugging traces/intermediate failures to dilute task-relevant information over long horizons. Term is generic/overlaps with the survey's own umbrella vocabulary; flagged for dedup-stage judgment."
902,9211f5e2e3c9bddd21a3fde10b946b9638352c4b,Grounding Agent Memory in Contextual Intent,N,,memory,reasoning-corruption,,,"Intent-aware memory retrieval paper; ""context-mismatched evidence retrieval"" (same entity recurring under different latent goals) is a specific system limitation, close to standard retrieval-relevance error."
903,68a888694cd9264daec2d314671852a6a0208af9,Chain-of-Memory: Lightweight Memory Construction with Dynamic Evolution for LLM Agents,N,,memory,reasoning-corruption,,,"Memory-construction efficiency paper; ""reasoning bottleneck"" from naive concatenation used generically (truncated)."
904,fa6afa1b821c74ea098f81cd38de5abd04874143,Active Context Compression: Autonomous Memory Management in LLM Agents,N,,direct-input,reasoning-corruption,,,"Agent-centric context-management paper; ""Context Bloat"" combines cost/latency growth with ""Lost in the Middle""-style distraction, explicitly built on existing named phenomena rather than introducing a new one."
905,eb76537f7195b0bae885bf181b73d2948c0755fd,StackPlanner: A Centralized Hierarchical Multi-Agent System with Task-Experience Memory Management,N,,multi-agent,reasoning-corruption,,,"Multi-agent memory-management paper; ""context bloat and error accumulation"" used generically."
906,458b97d8adb6f76e57903563a9ff92fef7fce486,MAGMA: A Multi-Graph based Agentic Memory Architecture for AI Agents,N,,memory,reasoning-corruption,,,Multi-graph memory architecture paper; generic monolithic-memory entanglement limitation.
907,db97b0581b1d60c1ad41428fe9950398bf987b60,EverMemOS: A Self-Organizing Memory Operating System for Structured Long-Horizon Reasoning,N,,memory,reasoning-corruption,,,"Memory operating-system paper; ""fragmented, unconsolidated memory"" used generically."
909,3541d9bffcf0a0e56f94e87752b32e065d690420,Automated Penetration Testing with LLM Agents and Classical Planning,N,,tool-output,goal-hijack,,,"Offensive-security (pentesting) taxonomy/evaluation paper; capability study, not an incidental context-pollution mechanism."
910,d128557bbd9330a3f0a62eb47e2a47dbb0df849b,Rhea: Role-aware Heuristic Episodic Attention for Conversational LLMs,Y,"cumulative contextual decay (attention pollution, dilution, and drift)",direct-input,reasoning-corruption,,high,"Central, explicitly defined contribution: progressive degradation of contextual integrity in multi-turn LLM conversation, decomposed into three named interacting sub-mechanisms (attention pollution, dilution, drift)."
911,d3c9e1b9a6f4847efd8fd382fdb36e6a7536f655,Chain-of-Memory: Taming Hallucinations in Million-Token Models with Verifiable Retrieval and Causal Tracing,N,,direct-input,silent-corruption,,,Memory architecture for long-term conversational QA; addresses generic degradation of fixed-context-window/long-context models over many-session histories.
913,67847ce6b93911d8688388201e69cf291d8cfc8d,A Simple Yet Strong Baseline for Long-Term Conversational Memory of LLM Agents,N,,memory,reasoning-corruption,,,Memory architecture for long-term conversational QA; no new named mechanism.
914,39bb5c87b4e4c9f95eab41c9a039a1b129b81677,"ENGRAM: Effective, Lightweight Memory Orchestration for Conversational Agents",N,,memory,reasoning-corruption,,,Lightweight memory orchestration paper; generic memory-retrieval failure modes.
915,1aae24f958ecadab48113d1257352ce229ace391,Tagging-Augmented Generation: Assisting Language Models in Finding Intricate Knowledge In Long Contexts,N,,direct-input,reasoning-corruption,,,"Long-context QA prompting technique; ""attention degradation over long contexts"" used generically (established lost-in-the-middle-adjacent framing)."
916,dc7a4814b8dd0b6d3db3f895b14152c1df6064c9,ReCAP: Recursive Context-Aware Reasoning and Planning for Large Language Model Agents,N,,direct-input,reasoning-corruption,,,"Hierarchical prompting/planning framework; ""context drift"" used generically, already a recognized term."
918,2aa22206048ff82676d0428b5c8d0d48cafbda62,A State-Update Prompting Strategy for Efficient and Robust Multi-turn Dialogue,N,,direct-input,reasoning-corruption,,,"Prompt-engineering paper characterizing a ""forgetting phenomenon"" in multi-turn dialogue via F1 decay with turn count; overlaps substantially with already-recognized multi-turn instruction-forgetting/drift."
921,9df0947ec8a14c43e69f3b72ece5e9af2b8e8215,Memory-R1: Enhancing Large Language Model Agents to Manage and Utilize Memories via Reinforcement Learning,N,,memory,reasoning-corruption,,,RL memory-management capability paper; no new named mechanism.
924,c0d601d453fb4b8b7bebf587f166b1f5f7b06985,Divide and summarize: improve SLM text summarization,N,,direct-input,reasoning-corruption,,,"Summarization method paper; explicitly frames around the existing ""Lost in the Middle"" problem (details truncated)."
925,719089f4a546d74b4b8ec6bcdac5dfd8dd4391da,RADIANT: Retrieval AugmenteD entIty-context AligNmenT - Introducing RAG-ability and Entity-Context Divergence,N,,RAG,silent-corruption,,,"Introduces ""Entity-Context Divergence"" as a metric for faithfulness of RAG evidence integration; a measurement metric rather than a newly characterized failure mechanism (measures existing unfaithful-generation/hallucination)."
926,ab683c941931da5c6351679cb346e4d1ad5b63f4,Resisting Contextual Interference in RAG via Parametric-Knowledge Reinforcement,N,,RAG,silent-corruption,,,"RL framework naming ""context dominance"" (over-trusting noisy/conflicting retrieved evidence over correct parametric knowledge) as the addressed failure mode; overlaps closely with established knowledge-conflict/over-reliance framing rather than being clearly distinct."
927,d16afc58d0e71d287893e1d137af37472b5fe23a,"Beyond Needle(s) in the Embodied Haystack: Environment, Architecture, and Training Considerations for Long Context Reasoning",N,,direct-input,reasoning-corruption,,,"Embodied long-context benchmark; long-context reasoning failure over scattered clues, an established capability gap (needle-in-haystack-like), not a new mechanism."
928,e06dda96ce8beac38be7d503faf18bb07051d340,"RAG-Modulo: Solving Sequential Tasks using Experience, Critics, and Language Models",N,,RAG,reasoning-corruption,,,Robotic decision-making memory paper; addresses generic inability to retain/learn from past interactions.
929,8fbbfece62a5d9dcb4e5bc7478c72b31e3ef80d6,Manufacturing Domain QA with Integrated Term Enhanced RAG,N,,RAG,silent-corruption,,,Domain RAG QA paper (manufacturing); addresses hallucination generically (details truncated).
930,7f94b69cac02fdd113385950297fcdbfbe3413ee,"Robust Pronoun Fidelity with English LLMs: Are they Reasoning, Repeating, or Just Biased?",N,,direct-input,silent-corruption,,,"Introduces ""pronoun fidelity"" as an evaluation task for discourse coreference robustness under distractor entities; a capability/bias evaluation task, not clearly an agent-context-pollution degradation mechanism."
931,ce78107fa37f1117da5734eea3ed44952a318611,Blinded by Generated Contexts: How Language Models Merge Generated and Retrieved Contexts When Knowledge Conflicts?,N,,RAG,silent-corruption,,,Diagnostic study of how LLMs merge conflicting generated vs. retrieved contexts; extends existing knowledge-conflict framing to hybrid generate+retrieve settings without introducing a new named mechanism.
932,1ad735714ad2e4ee5b94ce26c976e5ee5c7cde3b,Scalable Multi-Robot Collaboration with Large Language Models: Centralized or Decentralized Systems?,N,,multi-agent,reasoning-corruption,,,"Multi-robot planning architecture-comparison paper; token-budget/communication-architecture study, no new mechanism."
933,048e0a6fa601f6f87865a054f1dca95b2e28e51d,Memory Sandbox: Transparent and Interactive Memory Management for Conversational Agents,N,,memory,reasoning-corruption,,,"HCI design-probe paper for transparent conversational memory; ""distracted by irrelevant parts of the conversation"" used only generically."
934,eaa7853facb9b49444b48a96192cb4be66b62671,Synapse: Trajectory-as-Exemplar Prompting with Memory for Computer Control,N,,memory,reasoning-corruption,,,ICL-based computer-control agent paper; addresses generic context-length/exemplar-structure limitations.
935,1bb6703e03c66fc8591d05cf1d2797a0b01757b7,Alleviating Contextual Misguidance: Response-Aware Prompt Compression for Long-Context Question Answering,Y,contextual misguidance,direct-input,silent-corruption,lost in the middle,medium,"Paper identifies a specific causal mechanism underlying ""Lost in the Middle"": query-relevant yet non-grounding/misleading spans in long context misdirect the model, distinct from mere positional forgetting -- a mechanistic refinement of the established phenomenon."
936,52ce4b28ac27bc2108cdf2b54b67a0cb560475f2,Cognitive Scaffold: From Fluid Context to Crystallized Memory for Long-Horizon DeepResearch Agents,N,,memory,reasoning-corruption,,,"Memory architecture paper (details truncated); ""context-noise trade-off"" used generically for this system's motivation."
937,6e5fce29cbd9db7f1053b310df253b6b4b3c2991,Mitigate Position Bias in LLMs via Scaling a Single Hidden States Channel,Y,mechanistic explanation of position bias / lost-in-the-middle via hidden-state positional-information channel,direct-input,reasoning-corruption,lost in the middle,medium,"Paper identifies a micro-level mechanistic account of position bias: attention weights as a micro-expression of position bias, and a specific hidden-state channel (beyond position embeddings) carrying positional information (details truncated but central finding is clear from abstract/title)."
938,0c84a69b9201635a311e18673a2a281568e0fa01,MEMORA: Embodied Action Memory from Egocentric Videos for Reasoning and Planning,N,,cross-modal,reasoning-corruption,,,Embodied action-memory capability paper; error-propagation noted only briefly (details truncated).
939,2570b96ef56f7949fc84292cd3bd02e453e65fb9,Directional Attractors in LLM Reasoning: How Similarity Retrieval Steers Iterative Summarization Based Reasoning,N,,direct-input,reasoning-corruption,,,"Iterative-summarization-reasoning paper; studies how retrieval steers reasoning trajectories, a capability/architecture question rather than a named degradation mechanism."
940,3ba1322e1f7a457c1885df5aecc39c80528313d3,Cache What Lasts: Token Retention for Memory-Bounded KV Cache in LLMs,N,,direct-input,reasoning-corruption,,,"KV-cache eviction paper; ""premature eviction from attention-based importance proxies"" is a specific technique limitation (attention bias), overlapping with recognized attention-based eviction unreliability, not clearly a new general mechanism."
943,b7ba9df4eb239708cf48f25be87b5bceeca010e3,Taming Knowledge Conflicts in Language Models,Y,superposition of contextual information and parametric memory (mechanistic explanation of knowledge conflict),direct-input,silent-corruption,knowledge conflict,medium,"Mechanistic-interpretability finding overturning the prior ""exclusive memory heads vs. context heads"" assumption: influential attention heads simultaneously encode both parametric and contextual signals. A mechanistic refinement of the established knowledge-conflict phenomenon."
944,85dcdc3c6d6674e21a569c158eed8055bed4b19a,SUGAR: Leveraging Contextual Confidence for Smarter Retrieval,N,,RAG,silent-corruption,,,"Adaptive-retrieval-triggering paper; ""distracted by noisy retrieved content"" used generically (established distraction framing)."
946,10f829a80a7ee0cdb16307f04e206133d75f81da,Adaptive Chameleon or Stubborn Sloth: Revealing the Behavior of Large Language Models in Knowledge Conflicts,N,,RAG,silent-corruption,,,First controlled investigation of LLM receptiveness to conflicting external evidence; systematically studies (does not newly name) the existing knowledge-conflict phenomenon.
948,40ea97427c4750b1dee547f6c7b433733a80c38c,Still: Amortized KV Cache Compaction in a Single Forward Pass,N,,direct-input,reasoning-corruption,,,KV-cache compaction systems paper; no mechanism.
949,ee92a75f7d4e09d5138a6ff437b58dac04043cbe,Exploring Cross-Scenario Generality of Agentic Memory Systems: Diagnostics and a Strong Baseline,N,,memory,reasoning-corruption,,,"Cross-scenario generalization evaluation of memory systems; benchmark/diagnostic paper, no new named mechanism."
950,347650ce5f3201f54e13f193e2b614b6a21dec1c,Language Models Need Sleep: Learning to Self-Modify and Consolidate Memories,N,,memory,reasoning-corruption,,,"Continual-learning paper addressing ""catastrophic forgetting,"" a long-established ML phenomenon (not newly characterized here)."
951,646defbd740313a62d454d986c1411b03ef6de26,Periodic RoPE for Infinite Context LLMs,Y,position exhaustion,direct-input,reasoning-corruption,lost in the middle / long-context positional degradation,medium,"Paper names and characterizes ""position exhaustion"": perplexity spikes and generation quality degrades once sequence length exceeds the positional-encoding range seen during training, distinct from (but related to) general long-context degradation."
953,1eb03921bccef3ac3d07f867c4cadad6efce3ebe,MemFail: Stress-Testing Failure Modes of LLM Memory Systems,N,,memory,silent-corruption,,,Diagnostic benchmark decomposing memory-system failures into summarization/storage/retrieval error attribution; measures/attributes known failure types rather than naming a new mechanism.
954,8539c9fe2bc5320a8c1f84e01c709fcca0389e94,Memory in the LLM Era: Modular Architectures and Strategies in a Unified Framework,N,,memory,reasoning-corruption,,,Systematic experimental comparison/survey of agent memory methods.
957,94e27f0b99372e133122755c42cb96db5b04e47f,"Graph-based Agent Memory: Taxonomy, Techniques, and Applications",N,,memory,reasoning-corruption,,,Survey of graph-based agent memory.
959,904a2c2ec156575c2d5a691fde982f479c0ae2b2,Fine-Mem: Fine-Grained Feedback Alignment for Long-Horizon Memory Management,N,,memory,reasoning-corruption,,,"RL memory-manager training paper; reward sparsity/credit assignment is a training-methodology issue, not a context-pollution mechanism."
960,4e368119b5b8e809062d9da09b24941c705f9236,FlashMem: Distilling Intrinsic Latent Memory via Computation Reuse,N,,memory,reasoning-corruption,,,Latent-memory distillation architecture paper; addresses generic statelessness/redundant reprocessing.
962,4ed17f7e993359213a481000725cbaddf50624e8,"Memory in Large Language Models: Mechanisms, Evaluation and Evolution",N,,memory,reasoning-corruption,,,"Conceptual ""operating system"" / taxonomy paper for LLM memory research and governance; systematization, not a single new named mechanism."
963,75bd9e32591e367259d4f91f7611212e892adb23,Can Retrieval Heads See Images? Multimodal Retrieval Heads in Long-Context Vision-Language Models,N,,cross-modal,reasoning-corruption,,,"Mechanistic-interpretability paper extending ""retrieval heads"" concept to vision-language models (multimodal retrieval heads); an architectural/interpretability extension of an existing concept (retrieval heads), not itself a new degradation mechanism."
964,372a3b02da59e7e3cb1bbc7a34516d057585d11d,SEC-bench Pro: Can Language Models Solve Long-Horizon Software Security Tasks?,N,,tool-output,reasoning-corruption,,,"Offensive-security (vulnerability discovery) benchmark; capability study, not an incidental mechanism."
965,4bc97dba841ff291ef59c77dc8b2b053366d79ff,Free(): Learning to Forget in Malloc-Only Reasoning Models,Y,"UNNAMED: ""malloc-only"" context accumulation causing reasoning degeneration in extended CoT",direct-input,reasoning-corruption,,low,"Paper diagnoses standard reasoning LLMs as ""malloc-only"" engines that continuously accumulate valid and redundant reasoning steps without a pruning mechanism, causing degeneration/repetitive loops and eventual reasoning collapse past a token threshold; a specific characterized architectural failure, though ""malloc-only"" is more a metaphor/label than an established term."
967,d588dd2028336d8b62cb5bebbecfa105ab5d5d82,Multi$^2$: Hierarchical Multi-Agent Decision-Making with LLM-Based Agents in Interactive Environments,N,,multi-agent,reasoning-corruption,,,"Hierarchical multi-agent RL paper; ""objective drift"" used generically (established drift concept)."
969,245d4d3631a31289e11fed0f0e0b0f63b853e2e8,MEMO: Memory-Augmented Model Context Optimization for Robust Multi-Turn Multi-Agent LLM Games,N,,multi-agent,reasoning-corruption,,,"Multi-agent game-evaluation stability paper; run-to-run variance from compounding early deviations is a specific evaluation-methodology issue, not a context-pollution mechanism."
971,f77c949f1b9101854b62aabf0da5ae887df18b8b,Verlog: Context-lite Multi-turn Reinforcement Learning framework for Long-Horizon LLM Agents,N,,direct-input,reasoning-corruption,,,"Details empty/truncated; RL framework for long-horizon agents, no mechanism evident."
972,eba07d3742ba4bb126ccf59e06cf3d1988cbfd8c,Mitigating Scaffolding Collapse in Socratic Tutors via Representation Alignment,Y,scaffolding collapse,direct-input,reasoning-corruption,,high,"Central named contribution: under sustained multi-turn student pressure (persistent requests, fake mastery claims, emotional urgency, role redefinition), an LLM Socratic tutor gradually abandons guided-inquiry constraints and reveals answers directly, driven by internal representation drift. Note: threat model is framed as red-teaming/sustained user pressure, bordering on Track A; included here as the paper frames it as incidental multi-turn dialogue drift rather than a discrete attack."
976,4c75b2840ab60724b9a7a7a6d7ab91464271cd5f,Prompt-Activation Duality: Improving Activation Steering via Attention-Level Interventions,Y,KV-cache contamination,direct-input,reasoning-corruption,,low,"Paper names and characterizes a specific failure of activation/persona-vector steering in stateful multi-turn dialogue: steered token states are persisted and reused via the KV cache, turning a local single-turn perturbation into cumulative coherence degradation across turns."
978,44e2dfb31ee6c47d0f756795830c7e7e64f46a0c,PAACE: A Plan-Aware Automated Agent Context Engineering Framework,N,,direct-input,reasoning-corruption,,,"Context-engineering/compression paper; explicitly references existing ""context rot"" phenomenon as its motivation rather than introducing a new one."
979,65c2112eecfbd99ccaac315fdf624ca9c0579b2f,CheckRLM: Effective Knowledge–Thought Coherence Checking in Retrieval-Augmented Reasoning,N,,RAG,silent-corruption,,,RAG-reasoning reliability paper; addresses factual-error propagation through extended reasoning chains as a generic issue (not a new named mechanism).
980,428e867f59ed171a0f7dad5cf2e034fee793a167,Regime-Aware Peer Specialization for Robust RAG under Heterogeneous Knowledge Conflicts,N,,RAG,silent-corruption,,,"RAG robustness paper; frames a reliability spectrum (Grounding/Arbitration/Resistance) for handling heterogeneous knowledge conflicts, a categorization of existing knowledge-conflict handling rather than a new mechanism."
981,adb39e1a63cf38589a23ec01a6dfb35d2e421f0c,AtlasVA: Self-Evolving Visual Skill Memory for Teacher-Free VLM Agents,N,,cross-modal,reasoning-corruption,,,"VLM agent memory paper; names ""spatial blindness"" and other text-centric-memory failures for spatially-grounded agents, but these are domain-specific (visual/spatial) architecture limitations rather than a general context-pollution mechanism (details truncated)."
983,adfa867f286dddcb20b4e989f32d6209ec3559a5,Trust or Abstain? A Self-Aware RAG Approach,N,,RAG,silent-corruption,,,"RAG self-awareness/abstention paper; addresses knowledge-conflict miscalibration (""confident hallucination"" etc.) as established failure types, not newly characterized."
984,bd685d88d79a24126e21957625006d39e6e492c4,"Bridging Modalities, Spanning Time: Structured Memory for Ultra-Long Agentic Video Reasoning",N,,cross-modal,reasoning-corruption,,,Ultra-long video memory-reasoning capability paper; generic evidence-discarding-before-inference limitation.
986,a27a5b3c01117bacb4868a964c679a01eb8c5db9,Lightweight LLM Agent Memory with Small Language Models,N,,memory,reasoning-corruption,,,"Lightweight SLM-driven memory system paper; efficiency-accuracy trade-off, no new mechanism."
987,290e74d22cb4cc7750f746a523e73a7b16e5dfc0,Learning When to Attend: Conditional Memory Access for Long-Context LLMs,N,,direct-input,reasoning-corruption,,,"Efficient long-context architecture paper (conditional attention); addresses computational-waste inefficiency, not a degradation mechanism."
988,1c8b199b9868dc1275c7a275aff2e2fe3858925d,Research and Analysis on the Mechanism of Suppressing Large Model Hallucination Based on Modular RAG Architecture,N,,RAG,silent-corruption,,,RAG hallucination-suppression mechanism-analysis paper (details truncated); studies existing hallucination phenomenon via module decomposition.
989,bddff0e7853344b7f8e2bccc7e9145630b6e8b3e,Enhancing Web Agents with a Hierarchical Memory Tree,N,,memory,reasoning-corruption,,,"Web-agent memory paper; names ""intention-execution entanglement"" (flat memory structures conflating task logic with site-specific action details) as this system's target gap -- fairly specific engineering diagnosis, borderline but kept N as primarily describing this system's architecture limitation rather than a broadly citable phenomenon."
990,d926c21fb1aa15d19dd1dba8a944c76948e41581,ERA: Evidence-based Reliability Alignment for Honest Retrieval-Augmented Generation,N,,RAG,silent-corruption,,,"RAG reliability/calibration paper; addresses epistemic vs. aleatoric uncertainty conflation under knowledge conflict, a measurement-methodology refinement not a new mechanism."
991,54fc75b6dbc48dcda85c73a7a2e4c9d7ef037399,A-RAG: Scaling Agentic Retrieval-Augmented Generation via Hierarchical Retrieval Interfaces,N,,RAG,reasoning-corruption,,,Agentic RAG scaling architecture paper; no new mechanism.
992,928c9465abc254954d3360af4a3bc73e407d7e35,CoCoA: Confidence and Context-Aware Adaptive Decoding for Resolving Knowledge Conflicts in Large Language Models,N,,direct-input,silent-corruption,,,Decoding-algorithm paper (CoCoA) for knowledge-conflict resolution; no new mechanism.
994,60c9fbcba72112937aba067ead90727f43108634,KScope: A Framework for Characterizing the Knowledge Status of Language Models,N,,direct-input,silent-corruption,,,"Framework for characterizing LLM ""knowledge status"" (taxonomy of five statuses); a measurement-methodology paper refining knowledge-conflict analysis, not introducing a new degradation mechanism."
995,cbd822d674f38c2da8ec4a979772d288b9ad0756,"Generate, Discriminate, Evolve: Enhancing Context Faithfulness via Fine-Grained Sentence-Level Self-Evolution",N,,RAG,silent-corruption,,,"Self-evolving training framework for context faithfulness; addresses existing knowledge-conflict/faithfulness issue at sentence granularity, not a new mechanism."
996,02be8b42d438f9e4c851157029b9d0de886c60b6,Reflective Planning: Vision-Language Models for Multi-Stage Long-Horizon Robotic Manipulation,N,,cross-modal,reasoning-corruption,,,"Robotic manipulation planning paper; physical/planning hallucination, off-topic from context-pollution mechanisms."
997,2149a5de36bd8d1fb9241a571632d77514b6cc2c,UniKnow: A Unified Framework for Reliable Language Model Behavior across Parametric and External Knowledge,N,,direct-input,silent-corruption,,,"Unified reliability framework across parametric/external knowledge; taxonomizes four knowledge scenarios (an existing-conflict-adjacent categorization), not a new mechanism."
998,2058a5f0e4ade9cfc5383c3aade29f9c5efbdd48,ReMEmbR: Building and Reasoning Over Long-Horizon Spatio-Temporal Memory for Robot Navigation,N,,memory,reasoning-corruption,,,Robot-navigation long-horizon memory paper; addresses generic context/memory scalability.
999,915539c51252649cf7d09e25dea3af199235ebed,Adaptive Contrastive Decoding in Retrieval-Augmented Generation for Handling Noisy Contexts,N,,RAG,silent-corruption,,,"Adaptive contrastive decoding paper for noisy RAG contexts; addresses established noisy/conflicting-context robustness, no new mechanism."
1000,dc256e179d4e8eff48879a40ddc414b15b0b2300,RAT: Retrieval Augmented Thoughts Elicit Context-Aware Reasoning in Long-Horizon Generation,N,,RAG,reasoning-corruption,,,Retrieval-augmented chain-of-thought paper; addresses generic hallucination in multi-step reasoning.
1001,1ab76168a8fc29887ce54f21d518f528fc7d2ba2,Who's Who: Large Language Models Meet Knowledge Conflicts in Practice,N,,RAG,silent-corruption,,,"Benchmark (WhoQA) for naturally-occurring knowledge conflicts from ambiguous entities; measures existing knowledge-conflict phenomenon via a new natural data source, does not introduce a new mechanism."
1002,33888b7650d97a21dda39d9c6cefbacb5334dbe0,Unraveling Cross-Modality Knowledge Conflicts in Large Vision-Language Models,Y,cross-modality parametric knowledge conflict,cross-modal,silent-corruption,knowledge conflict,high,"Formally defines and systematically studies a new named sub-type of knowledge conflict specific to vision-language models: inconsistency between knowledge encoded in the vision pathway vs. the language backbone, causing contradictory answers depending on modality of presentation."
1003,ab8e6df5001dbb9b48445220099425aff536b3e8,Knowledge Conflicts for LLMs: A Survey,N,,RAG,silent-corruption,,,Survey of knowledge conflicts for LLMs (three-part taxonomy); survey/synthesis of already-named phenomena.
1004,a71236be6eaa57af7207288bb1153f067144e02a,Merging Generated and Retrieved Knowledge for Open-Domain QA,N,,RAG,silent-corruption,,,"Generate-then-read QA paper; addresses hallucinated generated passages conflicting with retrieved passages, an instance of established knowledge-conflict/hallucination framing."
1006,986fc8d841425a81947838425ea292685ef8325a,Multi-Route Search and Adaptive Fusion for Power QA with Small Language Model Guidance,N,,RAG,silent-corruption,,,Domain RAG QA paper (power systems); addresses retrieval challenges generically (details truncated).
1007,eeb8cc61135f5d3032da26888d7a2882b6704765,Exploring Knowledge Conflicts for Faithful LLM Reasoning: Benchmark and Method,N,,RAG,silent-corruption,,,"Benchmark (ConflictQA) for cross-source (text-vs-KG) knowledge conflicts; an already-recognized knowledge-conflict variant, measured not newly named."
